"CODGEO","P18_POP","P18_POP0014","P18_POP1529","P18_POP3044","P18_POP4559","P18_POP6074","P18_POP7589","P18_POP90P","P18_POPH"
"01113",820.000000000004,176.646266829866,118.43329253366,170.624235006121,169.620563035497,123.451652386782,51.1872705018362,10.0367197062424,400.465116279072
"01114",657,146.226951837641,74.7323462895915,132.167706914201,105.49251809974,109.743817652081,61.6902625162044,26.9463966905404,306.468027837934
"01115",1337,290.799590831546,235.175512205654,308.878606542604,262.486909516127,174.197571982943,57.2574748528284,8.20433406829414,678.840022331664
"01116",498.999999999998,106.212851405622,34.0682730923693,102.204819277108,90.1807228915659,103.206827309237,61.1224899598391,2.00401606425702,247.495983935742
"01117",149,44.4039735099338,11.841059602649,33.5496688741722,23.682119205298,23.682119205298,11.841059602649,0,73.0198675496689
"01118",1270,239.044807362058,153.596330097367,241.781606488115,285.824436150985,225.769652780636,102.887228208,21.0959389128383,639.108948465891
"01121",116,20,20,20,36,16,4,0,62
"01123",1154,244.695740920943,144.940394280985,223.675036363043,244.652766179403,194.458751241499,97.383146232077,4.19416478205203,590.50608249711
"01124",677,131.156695156695,93.545584045584,127.299145299145,140.80056980057,119.584045584046,58.8276353276353,5.78632478632478,344.286324786325
"01125",616.000000000001,126.823529411765,81.529411764706,125.816993464053,136.888888888889,98.6405228758172,42.2745098039216,4.02614379084968,312.02614379085
"01127",508,101,46,98,104,112,41,6,259
"01128",309,61.594684385382,42.0897009966777,58.5149501661129,63.6478405315614,50.3023255813953,31.8239202657807,1.0265780730897,153.986710963455
"01129",278,64.2244224422442,22.9372937293729,64.2244224422442,41.2871287128713,60.5544554455445,19.2673267326733,5.5049504950495,134.871287128713
"01130",2307,560.69114599315,323.95928026093,525.393005036949,456.538015484668,323.8822917849,111.322371912985,5.21388952641855,1169.68001573546
"01133",393,64.6708860759493,47.7569620253164,67.6556962025316,92.5291139240506,90.5392405063291,25.8683544303797,3.97974683544304,193.017721518987
"01134",1739,322.314780485322,234.409819136949,327.676154218038,407.259200790209,330.622840947573,109.33592835453,7.38127606738189,863.609357497053
"01135",2149,501,311,521,481,262,67,6,1115
"01136",880,177.379619260918,145.845464725644,171.466965285554,187.234042553192,139.93281075028,52.2284434490482,5.91265397536394,446.405375139978
"01138",3019.99999999999,607.778502277055,434.704911258495,532.178094790306,590.623318159665,522.24113983407,281.291326821406,51.1827068589906,1476.37844462619
"01139",441.999999999999,86.3309055371114,52.2284243459816,81.3417210146867,77.3648861657992,84.4266761392296,57.2919933491004,3.0153934480902,228.031584841872
"01140",771,136.057693394318,119.580555905596,134.077794415698,168.872353076785,125.180709458954,72.0890502918725,15.1418434567761,392.12318662939
"01141",449,81.1467064224761,65.3352529823535,75.5738665913108,97.5792162207079,87.6960818562876,36.6098884819802,5.05898744488331,217.508549312147
"01142",4769,1059.67972968442,858.519439918414,1004.66596619645,966.657887594228,638.287829227753,225.583677136792,15.6054702419394,2331.41482191131
"01143",9787.00000000003,2177.47848026589,1263.50029823291,2371.68952180663,2008.92173869779,1264.41687473345,606.027913889218,94.9651723741465,4571.74945042331
"01145",1169,221,170,219,252,237,64,6,597
"01146",435,82.809633027523,72.8325688073395,80.8142201834863,104.759174311927,66.8463302752294,23.9449541284404,2.99311926605505,210.516055045872
"01147",488.999999999999,94.9617180067621,67.0913547580844,87.3744042315014,105.880967546499,92.128981265762,40.5554414184255,1.00713277296386,232.438693189332
"01148",1854,330.439631566732,280.746580290383,314.565119678892,445.592358598636,358.294740096616,106.164407570318,18.1971621984238,927.004390014997
"01149",1059,197.473491773309,153.913162705667,181.985374771481,267.170018281536,188.761425959781,65.8244972577697,3.87202925045704,532.404021937843
"01150",215,41.1915887850467,30.1401869158878,48.2242990654205,53.2476635514018,31.1448598130841,10.0467289719626,1.00467289719626,111.518691588785
"01151",1152,204.30553116769,155.757682177348,201.271290605794,249.819139596136,227.568042142229,102.152765583845,11.1255487269534,581.562774363475
"01152",750,150.212850326528,85.2183322542887,151.037753846616,177.391518996211,121.725365898585,58.2701259117468,6.14405276602435,401.930610859637
